Time,TotalAsset,TotalPnl,DailyRefPnl,GrossMarketValue,Available_Cash,Available_Transfer
2018/12/14,1216255.21,123759.52,14363,1124710,91545.21,1853.27
2018/12/15,,,,,,
2018/12/16,1215949.67,119953.63,,,,
2018/12/17,1257883.67,161887.63,41934,1245400,12483.67,12483.67
2018/12/18,1216735.45,122367.79,-39579.25,1015200,201535.45,12483.98
2018/12/19,1217027.92,394.08,210,1003000,214027.92,201536.19
2018/12/20,1230129.03,1288,13173.45,1145400,84729.03,84729.03
2018/12/21,,,,,,
2018/12/22,,,,,,
2018/12/23,,,,,,
2018/12/24,,,,,,
2018/12/25,,,,,,
2018/12/26,,,,,,
2018/12/27,,,,,,
2018/12/28,,,,,,
2018/12/29,,,,,,
2018/12/30,,,,,,
2018/12/31,,,,,,
2019/1/1,,,,,,
2019/1/2,,,,,,
2019/1/3,,,,,,
2019/1/4,,,,,,
2019/1/5,,,,,,
2019/1/6,,,,,,
2019/1/7,,,,,,
2019/1/8,,,,,,
2019/1/9,,,,,,
2019/1/10,,,,,,
2019/1/11,,,,,,
2019/1/12,,,,,,
2019/1/13,,,,,,
2019/1/14,,,,,,
2019/1/15,,,,,,
2019/1/16,,,,,,
2019/1/17,,,,,,
2019/1/18,,,,,,
2019/1/19,,,,,,
2019/1/20,,,,,,
2019/1/21,,,,,,
2019/1/22,,,,,,
2019/1/23,,,,,,
2019/1/24,,,,,,
2019/1/25,,,,,,
2019/1/26,,,,,,
